employee_id,mode,emotion,confidence,timestamp
3204be,video,Neutral,,2026-01-06 00:07:01.684591
3835c5,video,fear,,2026-01-06 00:07:05.124496
9c023f,video,sad,,2026-01-06 00:07:08.418518
66a7a9,video,fear,,2026-01-06 00:07:11.018202
ca3c11,video,fear,,2026-01-06 00:07:12.938737
f95300,video,sad,,2026-01-06 00:07:14.610774
94e0ad,video,fear,,2026-01-06 00:07:15.934193
258585,video,sad,,2026-01-06 00:07:17.209266
64df83,video,fear,,2026-01-06 00:07:18.560785
835542,video,fear,,2026-01-06 00:07:20.027265
29abe1,video,fear,,2026-01-06 00:07:21.534187
69a8c3,video,fear,,2026-01-06 00:07:22.997348
99a994,video,fear,,2026-01-06 00:07:24.530804
cf021a,video,fear,,2026-01-06 00:07:26.035097
9aff0e,video,fear,,2026-01-06 00:07:27.405462
97ed20,video,fear,,2026-01-06 00:07:28.723273
dbe403,video,neutral,,2026-01-06 00:07:29.926091
24eae4,video,neutral,,2026-01-06 00:07:31.289696
02a212,video,fear,,2026-01-06 00:07:32.615418
ee268b,video,fear,,2026-01-06 00:07:33.925718
82faa8,video,fear,,2026-01-06 00:07:35.227577
45a8f5,video,fear,,2026-01-06 00:07:36.631727
ec3b88,video,neutral,,2026-01-06 00:07:37.938897
9644ad,video,fear,,2026-01-06 00:07:39.136045
8b7578,video,fear,,2026-01-06 00:07:40.429892
2b1d9b,video,fear,,2026-01-06 00:07:41.629980
316d5d,video,surprise,,2026-01-06 00:07:43.149809
44e374,video,happy,,2026-01-06 00:07:44.595061
267a6b,video,happy,,2026-01-06 00:07:46.050452
bc8de2,video,happy,,2026-01-06 00:07:47.658224
658dc5,video,happy,,2026-01-06 00:07:49.137469
d70f78,video,happy,,2026-01-06 00:07:50.613397
a39209,video,happy,,2026-01-06 00:07:52.014793
421655,video,happy,,2026-01-06 00:07:53.206192
586606,video,sad,,2026-01-06 00:07:54.634011
453941,video,sad,,2026-01-06 00:07:56.008927
4abc5a,video,fear,,2026-01-06 00:07:57.332113
a1cc07,video,fear,,2026-01-06 00:07:58.619342
790999,video,angry,,2026-01-06 00:08:00.031756
9d04c3,video,neutral,,2026-01-06 00:08:01.281558
80b809,video,fear,,2026-01-06 00:08:02.494708
847200,video,angry,,2026-01-06 00:08:03.664790
3152d4,video,neutral,,2026-01-06 00:08:04.820717
56c9ab,video,happy,,2026-01-06 00:08:06.136716
ed0a0a,video,neutral,,2026-01-06 00:08:07.437487
2c1468,text,Stressed,-0.8,2026-01-06 00:08:29.836939
029558,speech,Neutral,0.3,2026-01-06 00:14:55.994870
b72d57,speech,Neutral,0.2,2026-01-06 00:15:32.498622
3962e9,speech,Neutral,0.2,2026-01-06 00:18:42.948789
58733d,speech,Happy,1.0,2026-01-06 00:19:08.250203
ec46ba,text,Neutral,-0.1,2026-01-06 15:48:56.548614
ed2b5d,speech,Neutral,0.23,2026-01-06 15:49:51.321391
45f7cb,video,Neutral,,2026-01-06 15:50:11.572610
c7513e,video,sad,,2026-01-06 15:50:15.326099
a906ea,video,fear,,2026-01-06 15:50:16.453294
8066fc,video,fear,,2026-01-06 15:50:17.656076
64ab0f,video,fear,,2026-01-06 15:50:18.841373
12ab03,video,fear,,2026-01-06 15:50:20.043941
272822,video,fear,,2026-01-06 15:50:21.125274
77e81e,video,fear,,2026-01-06 15:50:22.308901
8b49bd,video,neutral,,2026-01-06 15:50:23.506230
c0c879,video,fear,,2026-01-06 15:50:24.909142
02547a,video,fear,,2026-01-06 15:50:26.390680
81c74a,video,fear,,2026-01-06 15:50:27.793506
50be81,video,fear,,2026-01-06 15:50:29.187200
10597f,video,fear,,2026-01-06 15:50:30.502967
f4293b,video,fear,,2026-01-06 15:50:31.792656
6ec2f9,video,fear,,2026-01-06 15:50:33.203139
024f2d,video,fear,,2026-01-06 15:50:34.718236
3327f4,video,neutral,,2026-01-06 15:50:36.094519
172287,video,happy,,2026-01-06 15:50:37.586415
4802fb,video,neutral,,2026-01-06 15:50:39.035098
5c87df,video,neutral,,2026-01-06 15:50:40.523298
0dd506,video,fear,,2026-01-06 15:50:41.975785
93b0c1,video,fear,,2026-01-06 15:50:43.474676
a90552,video,fear,,2026-01-06 15:50:44.903091
b82cb7,video,fear,,2026-01-06 15:50:46.194236
7c9d24,video,fear,,2026-01-06 15:50:47.798910
413428,video,fear,,2026-01-06 15:50:49.043453
e54ded,video,fear,,2026-01-06 15:50:50.386920
eba3f1,video,fear,,2026-01-06 15:50:51.797865
018318,video,fear,,2026-01-06 15:50:53.004058
f5e12e,video,fear,,2026-01-06 15:50:54.275673
355f7f,video,fear,,2026-01-06 15:50:55.593458
a3a6a4,video,fear,,2026-01-06 15:50:57.019003
9c0579,video,fear,,2026-01-06 15:50:58.294995
199ed9,video,fear,,2026-01-06 15:50:59.720644
949842,video,fear,,2026-01-06 15:51:01.181355
b3d763,video,fear,,2026-01-06 15:51:02.618457
f86efd,video,fear,,2026-01-06 15:51:04.117415
1a4448,video,fear,,2026-01-06 15:51:05.586005
2817d2,video,fear,,2026-01-06 15:51:07.077979
1c6cd6,video,fear,,2026-01-06 15:51:08.522068
0d2984,video,fear,,2026-01-06 15:51:09.888384
